Material,delta H_mix,delta V_mix,delta S_mix,delta H_mix/delta S_mix,average_V,sigma_V,average_m,sigma_m,average_rho,sigma_rho,average_VEC,sigma_VEC,average_chi,sigma_chi
(CrHfMoWZr)C,0.410814831,0.24976237,13.35753951,0.030755277,22.0337793,0.153912521,133.3874375,0.388700719,6.019799831,0.362385572,9.1875,0.106913154,4.3171875,0.101150722
(CrHfNbVW)C,0.331207152,0.355680339,13.35753951,0.024795521,20.56567383,0.146574159,124.0077156,0.47824291,5.82385565,0.398457475,9.21875,0.080146376,4.2778125,0.083555902
(CrHfNbWZr)C,0.311592551,0.248330078,13.35753951,0.023327092,22.35135742,0.149602575,132.8186375,0.392561958,5.921573449,0.376320443,9,0.100154202,4.2121875,0.093761855
(CrHfTiVW)C,0.288455004,0.215211589,13.35753951,0.021594921,20.15364258,0.142072615,115.5690156,0.557282952,5.50326119,0.466097601,9.03125,0.097808263,4.2665625,0.084891474
(CrHfTiWZr)C,0.299341221,0.218486328,13.35753951,0.022409907,21.93932617,0.156337221,124.3799375,0.475511013,5.600978989,0.445384888,8.8125,0.11146265,4.2009375,0.094598078
(CrHfVWZr)C,0.37643503,0.336149089,13.35753951,0.028181465,21.49395508,0.174388133,124.9502188,0.4684357,5.705758051,0.418949027,9,0.100154202,4.2178125,0.093467821
(CrNbTiWZr)C,0.268645294,0.215309245,13.35753951,0.020111885,21.46448242,0.145618474,108.3330125,0.460781046,5.049045116,0.457565657,9,0.100154202,4.2571875,0.085393238
(CrNbVWZr)C,0.346652891,0.335472005,13.35753951,0.025951852,21.01911133,0.16225919,108.9032938,0.453391057,5.153824178,0.431435322,9.1875,0.083593236,4.2740625,0.083625378
(CrTaTiWZr)C,0.258006185,0.23944987,13.35753951,0.019315398,21.4534668,0.145520998,124.8407937,0.477926635,5.785740231,0.460843883,9,0.100154202,4.2384375,0.087551233
(CrTaVWZr)C,0.335785613,0.35180013,13.35753951,0.025138283,21.0080957,0.162114527,125.411075,0.470873943,5.890519293,0.434864821,9.1875,0.083593236,4.2553125,0.08600015
(CrTiVWZr)C,0.315955319,0.236253255,13.35753951,0.023653706,20.60708008,0.16180147,100.4645938,0.528001739,4.833229719,0.494361095,9,0.100154202,4.2628125,0.084935028
(HfNbTaTiZr)C,-0.018021252,-0.010797526,13.35753951,-0.001349145,23.30475586,0.090910808,127.2580563,0.413674983,5.416030323,0.399807485,8.375,0.057805722,4.0028125,0.029369202
